,Year,credit_factor,turnover_factor
0,1990,17.42506616864712,13.924976491485141
1,1991,68.8945765596018,22.186687025548668
2,1992,22.467510763759655,24.888882056161798
3,1993,4.168537294080266,25.356443825650278
4,1994,24.715581875297477,20.165601984575865
5,1995,23.882752184091927,2.1526413767917196
6,1996,32.043204145851576,17.41041323269721
7,1997,2.87028895242023,0.24373614532537946
8,1998,63.2277879394854,2.7526189782134836
9,1999,46.708626416794964,50.31851512914302
10,2000,7.193655605879545,-6.92360638553583
11,2001,7.418329718404149,21.53883788724995
12,2002,17.88564410681024,-19.134168820223984
13,2003,-6.393051104397118,19.394642042210798
14,2004,4.2797398913066775,1.2472082646861837
15,2005,3.378399475993721,16.561323077294254
16,2006,-2.3558648910738555,-3.8872075982091414
17,2007,6.837200323075754,-1.9488278947805027
18,2008,22.256471994592598,-15.515426167717983
19,2009,-18.87891004771889,31.813622052363822
20,2010,2.9059564357071244,11.804933368238935
21,2011,5.843670791064914,-15.26686843932149
22,2012,3.7355911915698092,4.137349676969593
23,2013,-2.326096052955917,2.415851990737572
24,2014,7.635298895643294,0.526819547361157
25,2015,24.181126101770435,-11.79490930419178
26,2016,-12.99784206547655,6.152958428583055
27,2017,12.377836840665557,1.7626121253603966
28,2018,10.871231717945262,-12.318276800943973
29,2019,15.760387858620216,-1.3046906105652734
30,2020,5.82172251469848,41.89717894075904
31,2021,-4.926684736446674,25.983793824037704
32,2022,-13.693182059641995,-2.5705838445510443
33,2023,23.27679468659989,8.550566917648993
34,2024,6.863614870179058,-1.5814743984937096
